Player,Team,Position,Age,Matches played,Minutes played,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Assists,Assists per 90,xA,xA per 90,Second assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Long passes per 90,"Accurate long passes, %",Successful attacking actions per 90,Goals,Goals per 90,Non-penalty goals,xG,xG per 90,Shots per 90,"Shots on target, %","Goal conversion, %",Crosses per 90,"Accurate crosses, %",Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Conceded goals,Conceded goals per 90,xG against,xG against per 90,Prevented goals,Prevented goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",Exits per 90,GK Aerial duels per 90
A. Barák,Hellas Verona,CAM,27,17,1471,4.1,4.53,41.89,4.77,37.18,0.18,2.2,3.04,1.04,2,0.12,1.53,0.09,0.06,0.98,37.5,0.55,4.47,72.6,1.35,54.55,1.04,35.29,1.28,0.12,4.34,74.65,39.46,83.41,10.16,72.89,1.35,63.64,3.18,5,0.31,2,6.47,0.4,2.14,48.57,14.286,0.73,25,3,53.06,10.34,37.28,3.12,1.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Á. Di María,PSG,CAM,33,13,1000,4.05,3.51,46.15,0.18,0,0,2.16,3.36,0.18,3,0.27,2.69,0.24,0.27,2.88,31.25,1.08,5.85,83.08,7.65,43.53,4.32,35.42,2.52,1.44,8.46,84.04,58.86,77.52,14.22,66.46,4.77,49.06,6.3,3,0.27,3,2.68,0.24,2.43,44.44,11.111,4.5,30,5.31,55.93,9.09,49.5,4.32,3.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
A. Fulgini,Angers SCO,CAM,25,18,1530,4.18,3.59,59.02,2.24,36.84,0.18,1.88,2.21,0.94,2,0.12,0.74,0.04,0.18,1.12,15.79,0.12,3.88,66.67,2.06,40,1.24,14.29,0.59,0.35,3.82,76.92,38.88,82.75,9.82,71.26,1.65,57.14,3.29,3,0.18,3,4.31,0.25,1.88,28.13,9.375,1.41,29.17,4.82,45.12,13.12,34.98,2.82,2.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
A. Schöpf,Arminia Bielefeld,CAM,27,17,1461,6.1,5.11,53.01,1.66,44.44,0.12,3.14,3.33,1.17,0,0,1.55,0.1,0.06,0.25,0,0.25,3.63,76.27,1.79,51.72,0.43,28.57,0.74,0.49,3.82,70.97,32.53,82.2,8.01,70,2.09,64.71,2.4,0,0,0,2.26,0.14,1.48,20.83,0,1.36,36.36,3.02,53.06,7.89,39.84,1.66,1.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Adama Traoré,Wolverhampton Wanderers,CAM,25,18,1143,3.23,3.46,65.91,2.36,50,0.08,0.87,1.08,0.63,0,0,1.97,0.16,0.08,0.39,60,0.63,1.57,85,2.36,60,0.39,60,1.02,1.1,2.52,65.63,24.02,79.34,3.86,73.47,1.18,46.67,11.18,0,0,0,2.15,0.17,1.81,21.74,0,3.46,38.64,12.2,75.48,21.26,59.26,2.76,4.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Brahim Diaz,Milan,CAM,22,17,1172,3.69,3.53,63.04,2.07,7.41,0,1.23,1.76,0.46,2,0.15,1.05,0.08,0.15,1.15,33.33,0.38,4.45,74.14,2.38,64.52,1,15.38,1.46,0.23,4.22,78.18,34.56,87.56,8.6,74.11,1.46,68.42,2.92,3,0.23,3,3.67,0.28,1.69,31.82,13.636,0.46,50,4.61,38.33,11.44,30.2,2.38,2.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Bruno Fernandes,Manchester United,CAM,27,18,1610,6.37,5.98,46.73,1.57,39.29,0,2.68,3.81,1.06,2,0.11,4.59,0.26,0.06,2.24,32.5,0.95,7.32,65.65,6.15,40,4.47,27.5,1.96,0.84,8.39,72,49.14,75.54,15.04,58.74,7.04,47.62,3.35,5,0.28,5,3.18,0.18,2.12,26.32,13.158,3.02,33.33,2.01,52.78,5.14,46.74,2.4,1.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
C. Nkunku,RB Leipzig,CAM,24,18,1587,4.14,3.4,53.33,2.38,30.95,0.23,2.21,3.4,0.91,7,0.4,4.69,0.27,0.11,1.13,35,1.19,2.44,74.42,3.4,63.33,1.08,42.11,1.93,0.91,3.74,89.39,33.8,83.39,6.92,78.69,1.59,75,5.73,8,0.45,8,6.07,0.34,2.55,51.11,17.778,2.55,46.67,5.16,54.95,13.1,40.69,5.1,2.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D. Kamada,Eintracht Frankfurt,CAM,25,17,1304,4.14,4.69,41.18,2.42,17.14,0.07,2.07,2.59,1.1,1,0.07,0.79,0.05,0.21,0.97,35.71,0.35,4.07,79.66,1.79,50,0.83,25,1.04,0.14,4.14,78.33,29.4,81.69,8.63,72.8,1.52,77.27,2.28,1,0.07,1,2.08,0.14,1.38,15,5,0.83,16.67,2.83,56.1,7.59,42.73,2.07,1.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D. Payet,Olympique Marseille,CAM,34,16,1484,1.88,1.52,52,0.42,28.57,0,0.91,1.45,0.12,5,0.3,5.97,0.36,0.12,2.18,36.11,1.15,5.46,78.89,4.12,45.59,2.3,28.95,1.88,0.61,6.06,91,42.57,82.19,10.01,71.52,3.52,56.9,4.37,7,0.42,5,4.34,0.26,2.43,32.5,17.5,1.7,39.29,3.7,57.38,7.52,45.16,2.49,2.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
